t,visual_input_mass,lgn_mass,v1_mass,pulvinar_mass,visual_input.VISUAL_SIGNAL_mass,lgn.RELAY_CELLS_mass
0.000,0.000000,0.783200,15.724000,0.783100,0.000000,0.783200
0.062,0.000000,0.783500,15.728500,0.783200,0.000000,0.783700
0.227,0.000000,0.783700,15.739600,0.783800,0.000000,0.783800
0.383,0.000000,0.784200,15.750600,0.785000,0.000000,0.784300
0.493,0.000000,0.784200,15.754300,0.785400,0.000000,0.784900
0.647,0.000000,0.784700,15.763500,0.786100,0.000000,0.785100
0.811,0.000000,0.785600,15.775200,0.786800,0.000000,0.785600
0.912,0.000000,0.786100,15.778600,0.787100,0.000000,0.786500
1.069,0.000000,0.787000,15.787800,0.787500,0.000000,0.787200
1.224,0.000000,0.787500,15.795800,0.787500,0.000000,0.787500
1.319,0.000000,0.787700,15.800500,0.787600,0.000000,0.788000
1.475,0.000000,0.788100,15.809600,0.788400,0.000000,0.788200
1.629,0.000000,0.788500,15.816900,0.789000,0.000000,0.788500
1.721,0.000000,0.788600,15.820100,0.789000,0.000000,0.788700
1.866,0.000000,0.788700,15.824900,0.789600,0.000000,0.789100
2.018,0.000000,0.789400,15.833000,0.789500,0.000000,0.789400
2.112,0.000000,0.789600,15.834600,0.790300,0.000000,0.790100
2.258,0.000000,0.789900,15.840700,0.790600,0.000000,0.790200
2.407,0.000000,0.790600,15.844600,0.790600,0.000000,0.790600
2.501,0.000000,0.790800,15.846500,0.790500,0.000000,0.790800
2.647,0.000000,0.790800,15.850600,0.791000,0.000000,0.790900
2.789,0.000000,0.791100,15.856300,0.791400,0.000000,0.791100
2.889,0.000000,0.791000,15.856400,0.791400,0.000000,0.791200
3.043,0.000000,0.791000,15.857500,0.791800,0.000000,0.791000
3.198,0.000000,0.790700,15.859700,0.791900,0.000000,0.790700
3.290,0.000000,0.790800,15.861200,0.792500,0.000000,0.790900
3.445,0.000000,0.791100,15.862200,0.792500,0.000000,0.791500
3.600,0.000000,0.791600,15.866200,0.792600,0.000000,0.791600
3.689,0.000000,0.791600,15.868000,0.792900,0.000000,0.791700
3.837,0.000000,0.791900,15.869500,0.792500,0.000000,0.791800
3.988,0.000000,0.792000,15.871600,0.792500,0.000000,0.792000
4.083,0.000000,0.792200,15.871300,0.792700,0.000000,0.792100
4.232,0.000000,0.792200,15.870700,0.792700,0.000000,0.792400
4.385,0.000000,0.792500,15.872400,0.792700,0.000000,0.792500
4.477,0.000000,0.792800,15.870800,0.792800,0.000000,0.792700
4.637,0.000000,0.792700,15.869700,0.792600,0.000000,0.792700
4.797,0.000000,0.792700,15.867300,0.792500,0.000000,0.792700
4.919,0.000000,0.792800,15.864900,0.792100,0.000000,0.792500
5.090,0.000000,0.792300,15.862600,0.792000,0.000000,0.792300
5.249,0.000000,0.792000,15.861100,0.792200,0.000000,0.792000
5.345,0.000000,0.792100,15.861000,0.792300,0.000000,0.792200
5.497,0.000000,0.792200,15.859700,0.791800,0.000000,0.792000
5.675,0.000000,0.791900,15.856000,0.791300,0.000000,0.791900
5.773,0.000000,0.792000,15.854600,0.791200,0.000000,0.792400
5.927,0.000000,0.792600,15.849000,0.790900,0.000000,0.792300
6.087,0.000000,0.792400,15.844100,0.790800,0.000000,0.792400
6.186,0.000000,0.792300,15.840700,0.790500,0.000000,0.792500
6.334,0.000000,0.792400,15.837500,0.790500,0.000000,0.792400
6.482,0.000000,0.792400,15.831400,0.790700,0.000000,0.792400
6.576,0.000000,0.792800,15.827600,0.790800,0.000000,0.792500
6.722,0.000000,0.792500,15.820900,0.790900,0.000000,0.792200
6.870,0.000000,0.791700,15.815900,0.791100,0.000000,0.791700
6.960,0.000000,0.791600,15.812000,0.791000,0.000000,0.791400
7.116,0.000000,0.791300,15.804800,0.791100,0.000000,0.791300
7.261,0.000000,0.790700,15.795800,0.790400,0.000000,0.790700
7.350,0.000000,0.790300,15.788300,0.790400,0.000000,0.789900
7.492,0.000000,0.789600,15.782600,0.790400,0.000000,0.789400
7.639,0.000000,0.789200,15.772400,0.790100,0.000000,0.789200
7.728,0.000000,0.789100,15.768000,0.789600,0.000000,0.789100
7.867,0.000000,0.788700,15.757400,0.789500,0.000000,0.788200
8.025,0.000000,0.788100,15.747700,0.789200,0.000000,0.788100
8.119,0.000000,0.788000,15.743000,0.788800,0.000000,0.787800
8.263,0.000000,0.787400,15.730700,0.788800,0.000000,0.787300
8.407,0.000000,0.786800,15.719500,0.788300,0.000000,0.786800
8.495,0.000000,0.786500,15.715300,0.788000,0.000000,0.786200
8.635,0.000000,0.786100,15.704600,0.787300,0.000000,0.785700
8.782,0.000000,0.785400,15.691900,0.787400,0.000000,0.785400
8.870,0.000000,0.784900,15.685500,0.786800,0.000000,0.784900
9.009,0.000000,0.784300,15.673600,0.786500,0.000000,0.783800
9.155,0.000000,0.783700,15.663300,0.786100,0.000000,0.783700
9.244,0.000000,0.783600,15.657200,0.785700,0.000000,0.783300
9.389,0.000000,0.782800,15.640400,0.785200,0.000000,0.782400
9.539,0.000000,0.782100,15.631700,0.784600,0.000000,0.782100
9.632,0.000000,0.781500,15.623600,0.783900,0.000000,0.780800
9.777,0.000000,0.780400,15.610100,0.782800,0.000000,0.780300
9.921,0.000000,0.779700,15.595400,0.782100,0.000000,0.779700